Лаб. № пробы,Наименование выработки,"Глубина отбора образца, м",Наименование грунта,№ ИГЭ/РГЭ,rs,r,rd,n,e,W,Sr,WL,WP,Ip,IL,Ir,Е50,E,Мю,Cu,Цикл промораживания,Kd,Cud
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,2.06,1.71,35.7,0.56,20.3,0.97,32.0,18.5,13.5,0.13,4.4,11.4,11.4,0.27,0.058,0,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.99,1.59,40.2,0.67,25.2,1.0,32.0,18.5,13.5,0.5,4.4,6.8,7.1,0.36,0.046,3,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.94,1.51,43.2,0.76,28.4,0.99,32.0,18.5,13.5,0.73,4.4,4.2,4.6,0.36,0.032,5,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.91,1.47,44.8,0.81,30.0,0.98,32.0,18.5,13.5,0.85,4.4,4.2,4.5,0.46,0.03,10,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.9,1.46,45.2,0.83,30.5,0.98,32.0,18.5,13.5,0.89,4.4,4.1,4.7,0.45,0.028,24,0.84,0.024
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.97,1.57,42.2,0.73,25.9,0.96,33.2,23.6,9.6,0.24,,14.0,14.0,0.34,0.078,0,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.94,1.51,44.4,0.8,28.7,0.97,33.2,23.6,9.6,0.53,,10.7,12.5,0.31,0.058,3,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.92,1.48,45.5,0.83,29.9,0.97,33.2,23.6,9.6,0.66,,3.9,4.3,0.36,0.018,5,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.92,1.46,46.0,0.85,31.3,0.99,33.2,23.6,9.6,0.8,,3.9,4.1,0.42,0.019,10,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.91,1.45,46.5,0.87,31.5,0.98,33.2,23.6,9.6,0.82,,3.3,3.6,0.39,0.016,24,0.71,0.01
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-15,1,25.8,Глина твёрдая,58_3б,2.73,1.89,1.43,47.7,0.91,32.4,0.97,57.1,33.0,24.1,-0.03,,,,,,0,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,2.73,1.75,1.2,56.1,1.28,46.0,0.98,57.1,33.0,24.1,0.54,,,,,,10,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,2.73,1.75,1.2,56.1,1.28,45.8,0.98,57.1,33.0,24.1,0.53,,,,,,24,0.75,0.018
1-16,1,28.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-16,1,28.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-16,1,28.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-16,1,28.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-16,1,28.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-17,1,32.4,Суглинок твёрдый,58г_2б,2.72,1.98,1.56,42.5,0.74,26.6,0.98,34.5,24.9,9.6,0.18,,,,,,0,0.71,0.006
1-17,1,32.4,Суглинок твёрдый,58г_2б,,,,,,,,,,,,,,,,,3,0.71,0.006
1-17,1,32.4,Суглинок твёрдый,58г_2б,,,,,,,,,,,,,,,,,5,0.71,0.006
1-17,1,32.4,Суглинок твёрдый,58г_2б,2.72,1.89,1.43,47.3,0.9,31.9,0.97,34.5,24.9,9.6,0.73,,,,,,10,0.71,0.006
1-17,1,32.4,Суглинок твёрдый,58г_2б,2.72,1.9,1.43,47.3,0.9,32.6,0.99,34.5,24.9,9.6,0.8,,,,,,24,0.71,0.006
1-18,1,32.8,Суглинок тугопластичный,58г_2г.д,2.69,1.95,1.53,43.2,0.76,27.4,0.97,32.9,24.5,8.4,0.35,,,,,,0,,
1-18,1,32.8,Суглинок тугопластичный,58г_2г.д,,,,,,,,,,,,,,,,,3,,
1-18,1,32.8,Суглинок тугопластичный,58г_2г.д,,,,,,,,,,,,,,,,,5,,
1-18,1,32.8,Суглинок тугопластичный,58г_2г.д,,,,,,,,,,,,,,,,,10,,
1-18,1,32.8,Суглинок тугопластичный,58г_2г.д,,,,,,,,,,,,,,,,,24,,
1-19,1,33.4,Суглинок твёрдый,58г_2а,2.73,2.14,1.8,34.0,0.52,18.7,0.99,30.3,18.9,11.4,-0.02,,,,,,0,,
1-19,1,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,3,,
1-19,1,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,5,,
1-19,1,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,10,,
1-19,1,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,24,,
1-2,1,1.4,Глина твёрдая,25_1,2.71,1.93,1.49,44.9,0.81,29.5,0.98,49.6,26.1,23.5,0.14,,12.3,12.3,0.34,0.064,0,,
1-2,1,1.4,Глина твёрдая,25_1,2.71,1.9,1.43,47.1,0.89,32.6,0.99,49.6,26.1,23.5,0.28,,12.7,13.3,0.36,0.06,3,,
1-2,1,1.4,Глина твёрдая,25_1,2.71,1.88,1.42,47.6,0.91,32.5,0.97,49.6,26.1,23.5,0.27,,8.9,9.2,0.39,0.03,5,,
1-2,1,1.4,Глина твёрдая,25_1,2.71,1.88,1.4,48.2,0.93,34.0,0.99,49.6,26.1,23.5,0.34,,8.8,9.1,0.43,0.028,10,,
1-2,1,1.4,Глина твёрдая,25_1,2.71,1.87,1.39,48.8,0.95,34.8,0.99,49.6,26.1,23.5,0.37,,8.4,8.9,0.34,0.032,24,,
1-20,1,6.4,Суглинок тугопластичный,58г_2г.д,2.74,1.94,1.49,45.5,0.83,29.8,0.98,39.8,25.5,14.3,0.3,,15.6,15.6,0.39,0.054,0,,
1-20,1,6.4,Суглинок тугопластичный,58г_2г.д,2.74,1.91,1.45,47.2,0.89,31.9,0.98,39.8,25.5,14.3,0.45,,10.6,12.2,0.38,0.044,3,,
1-20,1,6.4,Суглинок тугопластичный,58г_2г.д,2.74,1.89,1.41,48.5,0.94,34.0,0.99,39.8,25.5,14.3,0.59,,5.7,6.0,0.33,0.022,5,,
1-20,1,6.4,Суглинок тугопластичный,58г_2г.д,2.74,1.88,1.41,48.6,0.95,33.5,0.97,39.8,25.5,14.3,0.56,,5.7,6.1,0.33,0.022,10,,
1-20,1,6.4,Суглинок тугопластичный,58г_2г.д,2.74,1.88,1.4,49.0,0.96,34.5,0.99,39.8,25.5,14.3,0.63,,4.6,5.0,0.34,0.018,24,,
1-21,1,7.4,Суглинок тугопластичный,58г_2г.д,2.73,1.89,1.42,48.1,0.93,33.2,0.98,41.8,26.5,15.3,0.44,,9.1,9.1,0.33,0.044,0,,
1-21,1,7.4,Суглинок тугопластичный,58г_2г.д,2.73,1.85,1.36,50.2,1.01,36.0,0.98,41.8,26.5,15.3,0.62,,7.7,8.4,0.35,0.036,3,,
1-21,1,7.4,Суглинок тугопластичный,58г_2г.д,2.73,1.84,1.35,50.5,1.02,36.2,0.97,41.8,26.5,15.3,0.63,,3.9,4.4,0.39,0.018,5,,
1-21,1,7.4,Суглинок тугопластичный,58г_2г.д,2.73,1.83,1.33,51.4,1.06,37.8,0.98,41.8,26.5,15.3,0.74,,4.0,4.4,0.34,0.017,10,,
1-21,1,7.4,Суглинок тугопластичный,58г_2г.д,2.73,1.83,1.33,51.4,1.06,38.1,0.98,41.8,26.5,15.3,0.76,,3.6,3.8,0.43,0.012,24,,
1-22,1,10.4,Глина тугопластичная,58_3г,2.75,1.84,1.35,51.0,1.04,36.8,0.97,51.7,30.1,21.6,0.31,,9.3,9.3,0.37,0.052,0,,
1-22,1,10.4,Глина тугопластичная,58_3г,2.75,1.83,1.31,52.3,1.09,39.4,0.99,51.7,30.1,21.6,0.43,,8.0,8.5,0.38,0.041,3,,
1-22,1,10.4,Глина тугопластичная,58_3г,2.75,1.81,1.28,53.4,1.14,41.1,0.99,51.7,30.1,21.6,0.51,,6.1,6.4,0.39,0.028,5,,
1-22,1,10.4,Глина тугопластичная,58_3г,2.75,1.8,1.27,53.8,1.17,41.8,0.99,51.7,30.1,21.6,0.54,,6.0,6.7,0.35,0.027,10,,
1-22,1,10.4,Глина тугопластичная,58_3г,2.75,1.8,1.26,54.2,1.18,42.8,1.0,51.7,30.1,21.6,0.59,,5.2,5.4,0.38,0.024,24,,
1-23,1,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
1-23,1,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
1-23,1,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
1-23,1,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
1-23,1,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
1-24,1,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
1-24,1,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
1-24,1,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
1-24,1,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
1-24,1,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
1-25,1,18.8,Суглинок твёрдый,58г_2а,2.72,2.12,1.78,34.6,0.53,19.3,0.99,36.2,22.9,13.3,-0.27,,,,,,0,,
1-25,1,18.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,3,,
1-25,1,18.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,5,,
1-25,1,18.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,10,,
1-25,1,18.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,24,,
1-26,1,21.8,Суглинок твёрдый,58г_2а,2.73,2.14,1.81,33.8,0.51,18.3,0.98,33.2,21.0,12.2,-0.22,,,,,,0,,
1-26,1,21.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,3,,
1-26,1,21.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,5,,
1-26,1,21.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,10,,
1-26,1,21.8,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,24,,
1-3,1,2.4,Глина полутвёрдая,58_3г,2.73,1.85,1.37,49.7,0.99,35.2,0.97,50.7,26.1,24.6,0.37,,12.5,12.5,0.34,0.054,0,0.74,0.021
1-3,1,2.4,Глина полутвёрдая,58_3г,2.73,1.85,1.34,50.8,1.03,37.8,1.0,50.7,26.1,24.6,0.48,,9.1,9.3,0.37,0.042,3,0.74,0.021
1-3,1,2.4,Глина полутвёрдая,58_3г,2.73,1.82,1.3,52.4,1.1,40.0,0.99,50.7,26.1,24.6,0.57,,4.8,5.3,0.41,0.034,5,0.74,0.021
1-3,1,2.4,Глина полутвёрдая,58_3г,2.73,1.81,1.28,53.1,1.13,41.3,1.0,50.7,26.1,24.6,0.62,,4.8,5.0,0.38,0.034,10,0.74,0.021
1-3,1,2.4,Глина полутвёрдая,58_3г,2.73,1.8,1.27,53.4,1.14,41.5,0.99,50.7,26.1,24.6,0.62,,4.9,5.5,0.39,0.028,24,0.74,0.021
1-4,1,4.4,Глина полутвёрдая,58_3б,2.71,1.93,1.48,45.5,0.83,30.5,0.99,48.5,26.9,21.6,0.16,,14.1,14.1,0.38,0.092,0,,
1-4,1,4.4,Глина полутвёрдая,58_3б,2.71,1.85,1.35,50.1,1.0,36.7,0.99,48.5,26.9,21.6,0.45,,9.3,10.0,0.39,0.053,3,,
1-4,1,4.4,Глина полутвёрдая,58_3б,2.71,1.81,1.3,52.0,1.08,39.1,0.98,48.5,26.9,21.6,0.56,,5.9,6.1,0.4,0.024,5,,
1-4,1,4.4,Глина полутвёрдая,58_3б,2.71,1.81,1.29,52.3,1.1,40.0,0.99,48.5,26.9,21.6,0.61,,5.9,6.2,0.39,0.022,10,,
1-4,1,4.4,Глина полутвёрдая,58_3б,2.71,1.8,1.28,52.8,1.12,40.9,0.99,48.5,26.9,21.6,0.65,,5.4,5.9,0.38,0.022,24,,
1-43,1,14.0,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
1-43,1,14.0,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
1-43,1,14.0,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
1-43,1,14.0,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
1-43,1,14.0,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
1-5,1,5.8,Глина тугопластичная,58_3г,2.75,1.81,1.28,53.4,1.15,41.3,0.99,54.9,31.4,23.5,0.42,,,,,,0,,
1-5,1,5.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,3,,
1-5,1,5.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,5,,
1-5,1,5.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,10,,
1-5,1,5.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,24,,
1-6,1,7.8,Суглинок полутвёрдый,58г_2б,2.73,2.0,1.58,42.2,0.73,26.5,0.99,34.4,25.0,9.4,0.16,,13.9,13.9,0.3,0.08,0,0.62,0.01
1-6,1,7.8,Суглинок полутвёрдый,58г_2б,2.73,1.94,1.49,45.3,0.83,29.9,0.99,34.4,25.0,9.4,0.52,,8.9,9.9,0.39,0.048,3,0.62,0.01
1-6,1,7.8,Суглинок полутвёрдый,58г_2б,2.73,1.9,1.45,47.0,0.89,31.2,0.96,34.4,25.0,9.4,0.66,,4.2,4.9,0.34,0.022,5,0.62,0.01
1-6,1,7.8,Суглинок полутвёрдый,58г_2б,2.73,1.9,1.44,47.3,0.9,32.1,0.98,34.4,25.0,9.4,0.76,,4.1,4.4,0.41,0.024,10,0.62,0.01
1-6,1,7.8,Суглинок полутвёрдый,58г_2б,2.73,1.9,1.42,47.9,0.92,33.4,0.99,34.4,25.0,9.4,0.89,,2.1,2.3,0.42,0.012,24,0.62,0.01
1-7,1,9.4,Суглинок полутвёрдый,58г_2б,2.72,1.98,1.54,43.2,0.76,28.0,1.0,42.5,27.0,15.5,0.06,,,,,,0,,
1-7,1,9.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,3,,
1-7,1,9.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,5,,
1-7,1,9.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,10,,
1-7,1,9.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,24,,
1-8,1,11.4,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,0,,
1-8,1,11.4,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
1-8,1,11.4,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
1-8,1,11.4,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
1-8,1,11.4,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
1-9,1,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-9,1,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-9,1,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-9,1,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-9,1,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
10-1,10,0.4,Глина полутвёрдая,25_1,2.72,1.97,1.55,43.0,0.75,26.9,0.97,48.7,25.1,23.6,0.08,,16.9,16.9,0.32,0.076,0,,
10-1,10,0.4,Глина полутвёрдая,25_1,2.72,1.92,1.47,45.9,0.85,30.4,0.98,48.7,25.1,23.6,0.22,,13.2,14.4,0.33,0.07,3,,
10-1,10,0.4,Глина полутвёрдая,25_1,2.72,1.9,1.45,46.7,0.88,31.0,0.96,48.7,25.1,23.6,0.25,,9.7,10.2,0.35,0.04,5,,
10-1,10,0.4,Глина полутвёрдая,25_1,2.72,1.9,1.44,47.2,0.89,32.2,0.98,48.7,25.1,23.6,0.3,,9.3,10.0,0.34,0.04,10,,
10-1,10,0.4,Глина полутвёрдая,25_1,2.72,1.89,1.42,47.9,0.92,33.2,0.98,48.7,25.1,23.6,0.34,,8.9,9.6,0.37,0.036,24,,
10-10,10,16.4,Суглинок полутвёрдый,58г_2б,2.7,2.0,1.58,41.4,0.71,26.1,1.0,39.5,22.8,16.7,0.2,,,,,,0,,
10-10,10,16.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,3,,
10-10,10,16.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,5,,
10-10,10,16.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,10,,
10-10,10,16.4,Суглинок полутвёрдый,58г_2б,,,,,,,,,,,,,,,,,24,,
10-11,10,19.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,0,,
10-11,10,19.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
10-11,10,19.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
10-11,10,19.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
10-11,10,19.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
10-12,10,20.4,Глина твёрдая,58_3в,2.72,2.03,1.63,39.9,0.66,23.9,0.98,50.2,27.5,22.7,-0.16,,,,,,0,,
10-12,10,20.4,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,3,,
10-12,10,20.4,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,5,,
10-12,10,20.4,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,10,,
10-12,10,20.4,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,24,,
10-13,10,24.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,0,,
10-13,10,24.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
10-13,10,24.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
10-13,10,24.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
10-13,10,24.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
10-14,10,32.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
10-14,10,32.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
10-14,10,32.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
10-14,10,32.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
10-14,10,32.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
10-15,10,36.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,0,,
10-15,10,36.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
10-15,10,36.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
10-15,10,36.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
10-15,10,36.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
10-16,10,8.8,Суглинок тугопластичный,58г_2г.д,2.73,1.87,1.39,49.0,0.96,34.1,0.97,42.0,26.8,15.2,0.48,,12.2,12.2,0.39,0.05,0,0.64,0.012
10-16,10,8.8,Суглинок тугопластичный,58г_2г.д,2.73,1.86,1.37,49.8,0.99,35.7,0.98,42.0,26.8,15.2,0.59,,7.2,7.9,0.37,0.029,3,0.64,0.012
10-16,10,8.8,Суглинок тугопластичный,58г_2г.д,2.73,1.82,1.31,51.9,1.08,38.7,0.98,42.0,26.8,15.2,0.78,,2.8,3.2,0.43,0.014,5,0.64,0.012
10-16,10,8.8,Суглинок тугопластичный,58г_2г.д,2.73,1.79,1.27,53.4,1.14,40.6,0.97,42.0,26.8,15.2,0.91,,2.9,3.1,0.41,0.014,10,0.64,0.012
10-16,10,8.8,Суглинок тугопластичный,58г_2г.д,2.73,1.79,1.27,53.6,1.15,41.5,0.98,42.0,26.8,15.2,0.97,,2.5,2.8,0.38,0.009,24,0.64,0.012
10-2,10,0.8,Суглинок тугопластичный,22а_1с_г.д,2.68,1.93,1.49,44.6,0.8,29.7,0.99,35.5,22.4,13.1,0.56,,9.8,9.8,0.38,0.028,0,,
10-2,10,0.8,Суглинок тугопластичный,22а_1с_г.д,2.68,1.9,1.44,46.2,0.86,31.7,0.99,35.5,22.4,13.1,0.71,,7.4,7.9,0.37,0.031,3,,
10-2,10,0.8,Суглинок тугопластичный,22а_1с_г.д,2.68,1.87,1.41,47.4,0.9,32.7,0.97,35.5,22.4,13.1,0.79,,2.8,3.1,0.45,0.016,5,,
10-2,10,0.8,Суглинок тугопластичный,22а_1с_г.д,2.68,1.86,1.38,48.4,0.94,34.5,0.99,35.5,22.4,13.1,0.92,,2.8,3.3,0.42,0.016,10,,
10-2,10,0.8,Суглинок тугопластичный,22а_1с_г.д,2.68,1.85,1.37,49.0,0.96,35.1,0.98,35.5,22.4,13.1,0.97,,1.8,1.9,0.43,0.014,24,,
10-3,10,3.4,Глина полутвёрдая,58_3б,2.73,1.91,1.46,46.7,0.88,31.1,0.97,44.7,27.5,17.2,0.21,,14.1,14.1,0.34,0.09,0,,
10-3,10,3.4,Глина полутвёрдая,58_3б,2.73,1.89,1.42,48.0,0.92,33.1,0.98,44.7,27.5,17.2,0.33,,11.3,12.2,0.4,0.063,3,,
10-3,10,3.4,Глина полутвёрдая,58_3б,2.73,1.85,1.36,50.3,1.01,36.3,0.98,44.7,27.5,17.2,0.51,,5.1,6.0,0.41,0.03,5,,
10-3,10,3.4,Глина полутвёрдая,58_3б,2.73,1.79,1.28,53.2,1.14,40.1,0.96,44.7,27.5,17.2,0.73,,5.2,5.6,0.35,0.03,10,,
10-3,10,3.4,Глина полутвёрдая,58_3б,2.73,1.79,1.26,53.8,1.17,41.9,0.98,44.7,27.5,17.2,0.84,,4.4,4.6,0.44,0.023,24,,
10-4,10,5.8,Глина твёрдая,58_3б,2.74,1.92,1.47,46.5,0.87,31.0,0.98,51.1,29.5,21.6,0.07,,17.7,17.7,0.36,0.084,0,,
10-4,10,5.8,Глина твёрдая,58_3б,2.74,1.86,1.36,50.3,1.01,36.5,0.99,51.1,29.5,21.6,0.32,,10.9,11.8,0.36,0.056,3,,
10-4,10,5.8,Глина твёрдая,58_3б,2.74,1.85,1.34,51.0,1.04,37.9,1.0,51.1,29.5,21.6,0.39,,7.1,7.9,0.41,0.03,5,,
10-4,10,5.8,Глина твёрдая,58_3б,2.74,1.82,1.29,52.8,1.12,40.8,1.0,51.1,29.5,21.6,0.52,,7.2,8.1,0.37,0.03,10,,
10-4,10,5.8,Глина твёрдая,58_3б,2.74,1.8,1.28,53.4,1.15,41.0,0.98,51.1,29.5,21.6,0.53,,7.0,8.0,0.37,0.028,24,,
10-5,10,6.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,0,,
10-5,10,6.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
10-5,10,6.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
10-5,10,6.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
10-5,10,6.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
10-6,10,7.4,Глина твёрдая,58_3б,2.75,1.92,1.46,47.0,0.89,31.6,0.98,57.3,34.5,22.8,-0.13,,,,,,0,,
10-6,10,7.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
10-6,10,7.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
10-6,10,7.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
10-6,10,7.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
10-7,10,7.8,Суглинок твёрдый,58г_2б,2.71,1.97,1.54,43.3,0.76,28.1,1.0,36.5,25.2,11.3,0.26,,14.3,14.3,0.35,0.065,0,,
10-7,10,7.8,Суглинок твёрдый,58г_2б,2.71,1.91,1.45,46.4,0.87,31.6,0.99,36.5,25.2,11.3,0.57,,8.7,10.9,0.37,0.049,3,,
10-7,10,7.8,Суглинок твёрдый,58г_2б,2.71,1.89,1.42,47.7,0.91,33.4,0.99,36.5,25.2,11.3,0.73,,3.4,3.5,0.35,0.019,5,,
10-7,10,7.8,Суглинок твёрдый,58г_2б,2.71,1.87,1.39,48.6,0.94,34.2,0.98,36.5,25.2,11.3,0.8,,3.4,3.6,0.4,0.018,10,,
10-7,10,7.8,Суглинок твёрдый,58г_2б,2.71,1.87,1.39,48.7,0.95,34.5,0.98,36.5,25.2,11.3,0.82,,3.1,3.3,0.42,0.016,24,,
10-8,10,9.4,Суглинок тугопластичный,58г_2г.д,2.74,1.93,1.47,46.4,0.87,31.3,0.99,41.4,25.1,16.3,0.38,,12.3,12.3,0.37,0.06,0,0.71,0.008
10-8,10,9.4,Суглинок тугопластичный,58г_2г.д,2.74,1.89,1.41,48.5,0.94,33.9,0.99,41.4,25.1,16.3,0.54,,9.5,10.3,0.38,0.048,3,0.71,0.008
